Function	Depth	Time(s)	Result
Map.lookupLT	2	4.50	Complete (Passed 30)
Map.lookupGE	2	4.51	Complete (Passed 30)
Map.findWithDefault	2	4.52	Complete (Passed 30)
Map.singleton	2	4.52	Complete (Passed 3)
Map.lookup	2	4.69	Complete (Passed 30)
Map.!	2	4.76	Complete (Passed 30)
Map.lookupLE	2	4.78	Complete (Passed 30)
Map.lookupGT	2	4.81	Complete (Passed 30)
Map.\\	2	5.11	Complete (Passed 100)
Map.null	2	8.58	Complete (Passed 10)
Map.singleton	3	4.20	Complete (Passed 4)
Map.notMember	2	8.77	Complete (Passed 30)
Map.member	2	8.80	Complete (Passed 30)
Map.findWithDefault	3	4.57	Complete (Passed 84)
Map.lookupGE	3	4.61	Complete (Passed 84)
Map.lookup	3	4.56	Complete (Passed 84)
Map.lookupLT	3	4.84	Complete (Passed 84)
Map.!	3	4.73	Complete (Passed 84)
Map.lookupLE	3	4.69	Complete (Passed 84)
Map.lookupGT	3	4.97	Complete (Passed 84)
Map.singleton	4	4.26	Complete (Passed 5)
Map.\\	3	10.88	Complete (Passed 441)
Map.findWithDefault	4	8.03	Complete (Passed 280)
Map.lookupGE	4	8.10	Complete (Passed 280)
Map.null	3	8.69	Complete (Passed 21)
Map.singleton	5	4.32	Complete (Passed 6)
Map.lookup	4	8.24	Complete (Passed 280)
Map.lookupLT	4	8.74	Complete (Passed 280)
Map.lookupGT	4	8.30	Complete (Passed 280)
Map.lookupLE	4	8.75	Complete (Passed 280)
Map.!	4	8.77	Complete (Passed 280)
Map.notMember	3	9.59	Complete (Passed 84)
Map.member	3	10.33	Complete (Passed 84)
Map.singleton	6	5.00	Complete (Passed 7)
Map.singleton	7	3.93	Complete (Passed 8)
Map.null	4	9.53	Complete (Passed 56)
Map.singleton	8	4.68	Complete (Passed 9)
Map.notMember	4	12.87	Complete (Passed 280)
Map.member	4	13.48	Complete (Passed 280)
Map.singleton	9	4.61	Complete (Passed 10)
Map.singleton	10	4.36	Complete (Passed 11)
Map.null	5	13.81	Complete (Passed 153)
Map.singleton	11	4.72	Complete (Passed 12)
Map.findWithDefault	5	31.85	Complete (Passed 918)
Map.lookup	5	31.76	Complete (Passed 918)
Map.lookupLE	5	31.07	Complete (Passed 918)
Map.lookupGE	5	32.12	Complete (Passed 918)
Map.singleton	12	4.87	Complete (Passed 13)
Map.lookupGT	5	31.91	Complete (Passed 918)
Map.lookupLT	5	32.01	Complete (Passed 918)
Map.!	5	32.14	Complete (Passed 918)
Map.singleton	13	4.42	Complete (Passed 14)
Map.singleton	14	4.54	Complete (Passed 15)
Map.singleton	15	4.48	Complete (Passed 16)
Map.singleton	16	4.55	Complete (Passed 17)
Map.notMember	5	36.56	Complete (Passed 918)
Map.member	5	36.34	Complete (Passed 918)
Map.null	6	31.01	Complete (Passed 379)
Map.singleton	17	4.74	Complete (Passed 18)
Map.singleton	18	5.05	Complete (Passed 19)
Map.singleton	19	4.31	Complete (Passed 20)
Map.singleton	20	4.87	Complete (Passed 21)
Map.insert	2	4.77	Complete (Passed 30)
Map.insert	3	5.96	Complete (Passed 84)
Map.insert	4	10.76	Complete (Passed 280)
Map.\\	4	126.66	Complete (Passed 3136)
Map.insert	5	42.01	Complete (Passed 918)
Map.null	7	123.98	Complete (Passed 985)
Map.findWithDefault	6	157.80	Complete (Passed 2653)
Map.!	6	157.80	Complete (Passed 2653)
Map.lookup	6	162.46	Complete (Passed 2653)
Map.lookupLE	6	164.71	Complete (Passed 2653)
Map.lookupGT	6	164.30	Complete (Passed 2653)
Map.lookupLT	6	164.39	Complete (Passed 2653)
Map.lookupGE	6	165.15	Complete (Passed 2653)
Map.notMember	6	166.36	Complete (Passed 2653)
Map.member	6	167.64	Complete (Passed 2653)
Map.insert	6	194.53	Complete (Passed 2653)
Map.null	8	705.00	Complete (Passed 2662)
Map.\\	5	900.15	TimeOut
Map.insertWithKey	2	4.34	Complete (Passed 30)
Map.insertWithKey	3	5.87	Complete (Passed 84)
Map.insertWithKey	4	10.21	Complete (Passed 280)
Map.insertWithKey	5	40.61	Complete (Passed 918)
Map.findWithDefault	7	900.00	TimeOut
Map.!	7	900.00	TimeOut
Map.insertWith	2	4.82	Complete (Passed 30)
Map.lookup	7	900.00	TimeOut
Map.insertLookupWithKey	2	4.89	Complete (Passed 30)
Map.lookupLE	7	900.00	TimeOut
Map.lookupGT	7	900.00	TimeOut
Map.lookupLT	7	900.00	TimeOut
Map.lookupGE	7	900.00	TimeOut
Map.delete	2	5.07	Complete (Passed 30)
Map.insertWith	3	5.85	Complete (Passed 84)
Map.insertLookupWithKey	3	5.40	Complete (Passed 84)
Map.adjustWithKey	2	4.26	Complete (Passed 30)
Map.adjust	2	4.56	Complete (Passed 30)
Map.delete	3	5.07	Complete (Passed 84)
Map.updateWithKey	2	8.17	Complete (Passed 30)
Map.update	2	8.77	Complete (Passed 30)
Map.adjust	3	4.77	Complete (Passed 84)
Map.adjustWithKey	3	5.67	Complete (Passed 84)
Map.insertWith	4	10.34	Complete (Passed 280)
Map.insertLookupWithKey	4	10.61	Complete (Passed 280)
Map.delete	4	10.06	Complete (Passed 280)
Map.updateWithKey	3	9.91	Complete (Passed 84)
Map.update	3	9.94	Complete (Passed 84)
Map.adjust	4	10.65	Complete (Passed 280)
Map.notMember	7	900.00	TimeOut
Map.adjustWithKey	4	10.86	Complete (Passed 280)
Map.member	7	900.00	TimeOut
Map.findIndex	2	0.16	Complete (Passed 30)
Map.findIndex	3	0.96	Complete (Passed 84)
Map.findIndex	4	4.32	Complete (Passed 280)
Map.updateLookupWithKey	2	8.58	Complete (Passed 30)
Map.updateWithKey	4	16.23	Complete (Passed 280)
Map.update	4	16.18	Complete (Passed 280)
Map.updateLookupWithKey	3	9.55	Complete (Passed 84)
Map.updateLookupWithKey	4	15.36	Complete (Passed 280)
Map.insertWith	5	39.98	Complete (Passed 918)
Map.findIndex	5	27.15	Complete (Passed 918)
Map.insertLookupWithKey	5	41.04	Complete (Passed 918)
Map.delete	5	38.82	Complete (Passed 918)
Map.adjust	5	39.54	Complete (Passed 918)
Map.adjustWithKey	5	40.15	Complete (Passed 918)
Map.update	5	50.18	Complete (Passed 918)
Map.updateWithKey	5	50.76	Complete (Passed 918)
Map.updateLookupWithKey	5	52.12	Complete (Passed 918)
Map.insert	7	900.03	TimeOut
Map.alter	2	4.73	Complete (Passed 30)
Map.alter	3	5.81	Complete (Passed 84)
Map.alter	4	11.53	Complete (Passed 280)
Map.insertWithKey	6	185.25	Complete (Passed 2653)
Map.alter	5	51.65	Complete (Passed 918)
Map.findIndex	6	153.78	Complete (Passed 2653)
Map.insertWith	6	182.85	Complete (Passed 2653)
Map.adjust	6	179.39	Complete (Passed 2653)
Map.adjustWithKey	6	178.42	Complete (Passed 2653)
Map.delete	6	182.93	Complete (Passed 2653)
Map.insertLookupWithKey	6	187.44	Complete (Passed 2653)
Map.updateWithKey	6	223.22	Complete (Passed 2653)
Map.update	6	231.05	Complete (Passed 2653)
Map.updateLookupWithKey	6	227.45	Complete (Passed 2653)
Map.alter	6	261.31	Complete (Passed 2653)
Map.null	9	900.10	TimeOut
Map.lookupIndex	2	0.25	Complete (Passed 30)
Map.lookupIndex	3	0.76	Complete (Passed 84)
Map.lookupIndex	4	4.30	Complete (Passed 280)
Map.lookupIndex	5	27.44	Complete (Passed 918)
Map.lookupIndex	6	160.19	Complete (Passed 2653)
Map.insertWithKey	7	900.10	TimeOut
Map.elemAt	2	4.61	Complete (Passed 50)
Map.elemAt	3	5.02	Complete (Passed 147)
Map.elemAt	4	12.01	Complete (Passed 504)
Map.findIndex	7	900.01	TimeOut
Map.updateAt	2	9.04	Complete (Passed 50)
Map.updateAt	3	10.29	Complete (Passed 147)
Map.insertWith	7	900.01	TimeOut
Map.adjust	7	900.01	TimeOut
Map.adjustWithKey	7	900.00	TimeOut
Map.delete	7	900.00	TimeOut
Map.deleteAt	2	5.17	Complete (Passed 50)
Map.insertLookupWithKey	7	900.01	TimeOut
Map.findMin	2	4.74	Complete (Passed 10)
Map.findMax	2	4.69	Complete (Passed 10)
Map.deleteMin	2	4.88	Complete (Passed 10)
Map.updateAt	4	18.80	Complete (Passed 504)
Map.deleteAt	3	5.90	Complete (Passed 147)
Map.deleteMax	2	4.14	Complete (Passed 10)
Map.findMin	3	4.72	Complete (Passed 21)
Map.deleteMin	3	4.22	Complete (Passed 21)
Map.findMax	3	4.86	Complete (Passed 21)
Map.deleteMax	3	4.89	Complete (Passed 21)
Map.findMin	4	5.87	Complete (Passed 56)
Map.elemAt	5	57.64	Complete (Passed 1683)
Map.findMax	4	5.51	Complete (Passed 56)
Map.deleteMin	4	6.38	Complete (Passed 56)
Map.deleteMax	4	5.55	Complete (Passed 56)
Map.deleteAt	4	12.79	Complete (Passed 504)
Map.findMax	5	8.90	Complete (Passed 153)
Map.findMin	5	9.79	Complete (Passed 153)
Map.deleteMin	5	11.25	Complete (Passed 153)
Map.deleteMax	5	10.09	Complete (Passed 153)
Map.findMax	6	26.32	Complete (Passed 379)
Map.findMin	6	26.97	Complete (Passed 379)
Map.deleteMin	6	29.25	Complete (Passed 379)
Map.deleteMax	6	29.06	Complete (Passed 379)
Map.updateWithKey	7	900.01	TimeOut
Map.update	7	900.01	TimeOut
Map.updateMin	2	9.01	Complete (Passed 10)
Map.deleteAt	5	61.55	Complete (Passed 1683)
Map.updateAt	5	75.75	Complete (Passed 1683)
Map.updateMax	2	9.20	Complete (Passed 10)
Map.updateMin	3	9.59	Complete (Passed 21)
Map.updateLookupWithKey	7	900.01	TimeOut
Map.updateMax	3	10.48	Complete (Passed 21)
Map.updateMin	4	10.52	Complete (Passed 56)
Map.updateMinWithKey	2	9.37	Complete (Passed 10)
Map.updateMax	4	10.86	Complete (Passed 56)
Map.updateMinWithKey	3	8.91	Complete (Passed 21)
Map.updateMin	5	16.98	Complete (Passed 153)
Map.updateMinWithKey	4	11.15	Complete (Passed 56)
Map.updateMax	5	18.31	Complete (Passed 153)
Map.updateMinWithKey	5	17.79	Complete (Passed 153)
Map.updateMin	6	45.66	Complete (Passed 379)
Map.updateMax	6	46.17	Complete (Passed 379)
