Function	Depth	Time(s)	Result
Map.findWithDefault	2	3.33	Complete (Passed 30)
Map.lookup	2	3.40	Complete (Passed 30)
Map.lookupLT	2	3.49	Complete (Passed 30)
Map.!	2	3.49	Complete (Passed 30)
Map.\\	2	3.97	Complete (Passed 100)
Map.null	2	6.83	Complete (Passed 10)
Map.member	2	6.86	Complete (Passed 30)
Map.notMember	2	6.87	Complete (Passed 30)
Map.lookup	3	3.80	Complete (Passed 84)
Map.findWithDefault	3	3.91	Complete (Passed 84)
Map.!	3	3.81	Complete (Passed 84)
Map.lookupLT	3	3.89	Complete (Passed 84)
Map.\\	3	9.63	Complete (Passed 441)
Map.lookupLT	4	6.62	Complete (Passed 280)
Map.null	3	7.21	Complete (Passed 21)
Map.notMember	3	7.17	Complete (Passed 84)
Map.lookup	4	6.91	Complete (Passed 280)
Map.findWithDefault	4	6.89	Complete (Passed 280)
Map.!	4	6.83	Complete (Passed 280)
Map.member	3	7.45	Complete (Passed 84)
Map.null	4	7.25	Complete (Passed 56)
Map.notMember	4	9.61	Complete (Passed 280)
Map.member	4	9.45	Complete (Passed 280)
Map.null	5	10.14	Complete (Passed 153)
Map.!	5	22.32	Complete (Passed 918)
Map.findWithDefault	5	22.32	Complete (Passed 918)
Map.lookup	5	22.48	Complete (Passed 918)
Map.lookupLT	5	22.88	Complete (Passed 918)
Map.member	5	25.46	Complete (Passed 918)
Map.notMember	5	25.65	Complete (Passed 918)
Map.null	6	21.59	Complete (Passed 379)
Map.\\	4	60.02	TimeOut
Map.lookupGT	2	3.87	Complete (Passed 30)
Map.lookupGT	3	4.11	Complete (Passed 84)
Map.lookupGT	4	5.66	Complete (Passed 280)
Map.findWithDefault	6	60.01	TimeOut
Map.!	6	60.01	TimeOut
Map.lookup	6	60.00	TimeOut
Map.lookupLT	6	60.00	TimeOut
Map.lookupGE	2	3.49	Complete (Passed 30)
Map.lookupLE	2	3.61	Complete (Passed 30)
Map.singleton	2	3.49	Complete (Passed 3)
Map.insert	2	3.63	Complete (Passed 30)
Map.singleton	3	3.40	Complete (Passed 4)
Map.lookupGE	3	3.88	Complete (Passed 84)
Map.lookupLE	3	3.82	Complete (Passed 84)
Map.insert	3	3.95	Complete (Passed 84)
Map.singleton	4	3.56	Complete (Passed 5)
Map.member	6	60.00	TimeOut
Map.notMember	6	60.00	TimeOut
Map.lookupGT	5	22.35	Complete (Passed 918)
Map.singleton	5	3.04	Complete (Passed 6)
Map.lookupGE	4	6.52	Complete (Passed 280)
Map.lookupLE	4	6.59	Complete (Passed 280)
Map.insertWith	2	3.70	Complete (Passed 30)
Map.null	7	60.00	TimeOut
Map.insertWithKey	2	3.79	Complete (Passed 30)
Map.insert	4	8.75	Complete (Passed 280)
Map.singleton	6	3.55	Complete (Passed 7)
Map.insertLookupWithKey	2	3.78	Complete (Passed 30)
Map.singleton	7	3.40	Complete (Passed 8)
Map.insertWith	3	4.23	Complete (Passed 84)
Map.insertWithKey	3	4.43	Complete (Passed 84)
Map.singleton	8	3.24	Complete (Passed 9)
Map.insertLookupWithKey	3	4.05	Complete (Passed 84)
Map.singleton	9	2.92	Complete (Passed 10)
Map.insertWith	4	7.71	Complete (Passed 280)
Map.insertWithKey	4	7.47	Complete (Passed 280)
Map.singleton	10	2.94	Complete (Passed 11)
Map.insertLookupWithKey	4	7.65	Complete (Passed 280)
Map.singleton	11	2.99	Complete (Passed 12)
Map.singleton	12	2.61	Complete (Passed 13)
Map.lookupLE	5	23.18	Complete (Passed 918)
Map.lookupGE	5	23.48	Complete (Passed 918)
Map.singleton	13	3.48	Complete (Passed 14)
Map.singleton	14	3.27	Complete (Passed 15)
Map.singleton	15	2.56	Complete (Passed 16)
Map.insert	5	29.56	Complete (Passed 918)
Map.singleton	16	2.99	Complete (Passed 17)
Map.singleton	17	2.89	Complete (Passed 18)
Map.singleton	18	2.68	Complete (Passed 19)
Map.singleton	19	3.05	Complete (Passed 20)
Map.insertWith	5	27.82	Complete (Passed 918)
Map.insertWithKey	5	28.25	Complete (Passed 918)
Map.singleton	20	3.43	Complete (Passed 21)
Map.insertLookupWithKey	5	29.20	Complete (Passed 918)
Map.delete	2	3.51	Complete (Passed 30)
Map.delete	3	3.47	Complete (Passed 84)
Map.lookupGT	6	60.01	TimeOut
Map.delete	4	7.03	Complete (Passed 280)
Map.adjust	2	3.09	Complete (Passed 30)
Map.adjust	3	3.69	Complete (Passed 84)
Map.adjust	4	5.99	Complete (Passed 280)
Map.lookupLE	6	60.01	TimeOut
Map.lookupGE	6	60.00	TimeOut
Map.delete	5	25.51	Complete (Passed 918)
Map.adjustWithKey	2	3.38	Complete (Passed 30)
Map.update	2	6.38	Complete (Passed 30)
Map.adjustWithKey	3	3.74	Complete (Passed 84)
Map.insert	6	60.00	TimeOut
Map.update	3	7.45	Complete (Passed 84)
Map.adjustWithKey	4	7.63	Complete (Passed 280)
Map.updateWithKey	2	6.83	Complete (Passed 30)
Map.adjust	5	27.92	Complete (Passed 918)
Map.insertWith	6	60.00	TimeOut
Map.insertWithKey	6	60.00	TimeOut
Map.alter	2	3.37	Complete (Passed 30)
Map.updateWithKey	3	7.88	Complete (Passed 84)
Map.insertLookupWithKey	6	60.00	TimeOut
Map.findIndex	2	0.13	Complete (Passed 30)
Map.findIndex	3	0.77	Complete (Passed 84)
Map.updateLookupWithKey	2	7.27	Complete (Passed 30)
Map.update	4	12.71	Complete (Passed 280)
Map.alter	3	4.78	Complete (Passed 84)
Map.findIndex	4	3.23	Complete (Passed 280)
Map.updateLookupWithKey	3	7.84	Complete (Passed 84)
Map.updateWithKey	4	12.29	Complete (Passed 280)
Map.alter	4	10.07	Complete (Passed 280)
Map.adjustWithKey	5	30.52	Complete (Passed 918)
Map.updateLookupWithKey	4	12.13	Complete (Passed 280)
Map.findIndex	5	20.71	Complete (Passed 918)
Map.delete	6	60.01	TimeOut
Map.lookupIndex	2	0.14	Complete (Passed 30)
Map.update	5	35.69	Complete (Passed 918)
