Function	Depth	Time(s)	Result
XMonad.StackSet.view	2	60.06	TimeOut
XMonad.StackSet.swapMaster	2	60.06	TimeOut
XMonad.StackSet.peek	2	60.06	TimeOut
XMonad.StackSet.tagMember	2	60.06	TimeOut
XMonad.StackSet.new	2	3.11	Complete (Passed 9)
XMonad.StackSet.modify'	2	4.37	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.member	2	4.97	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	3	3.02	Complete (Passed 16)
XMonad.StackSet.new	4	3.86	Complete (Passed 25)
XMonad.StackSet.modify'	3	6.83	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	5	3.29	Complete (Passed 36)
XMonad.StackSet.member	3	12.85	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	6	4.99	Complete (Passed 49)
XMonad.StackSet.new	7	6.02	Complete (Passed 64)
XMonad.StackSet.new	8	10.45	Complete (Passed 81)
XMonad.StackSet.member	4	24.38	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	9	16.13	Complete (Passed 100)
XMonad.StackSet.modify	2	60.07	TimeOut
XMonad.StackSet.mapWorkspace	2	5.71	Complete (Passed 1)
XMonad.StackSet.modify'	4	60.00	TimeOut
XMonad.StackSet.new	10	22.61	Complete (Passed 121)
XMonad.StackSet.member	5	32.37	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.mapWorkspace	3	9.78	Complete (Passed 1)
XMonad.StackSet.new	11	32.91	Complete (Passed 144)
XMonad.StackSet.mapLayout	2	60.03	TimeOut
XMonad.StackSet.integrate'	2	0.34	Complete (Passed 34)
XMonad.StackSet.integrate'	3	2.63	Complete (Passed 197)
XMonad.StackSet.member	6	60.00	TimeOut
XMonad.StackSet.integrate	2	0.37	Complete (Passed 33)
XMonad.StackSet.mapWorkspace	4	60.00	TimeOut
XMonad.StackSet.integrate	3	3.12	Complete (Passed 196)
XMonad.StackSet.new	12	60.03	TimeOut
XMonad.StackSet.integrate	4	36.18	Complete (Passed 1305)
XMonad.StackSet.integrate'	4	40.63	Complete (Passed 1306)
XMonad.StackSet.insertUp	2	60.02	TimeOut
XMonad.StackSet.greedyView	2	60.01	TimeOut
XMonad.StackSet.integrate	5	60.01	TimeOut
XMonad.StackSet.integrate'	5	60.00	TimeOut
XMonad.StackSet.filter	2	0.90	Complete (Passed 33)
XMonad.StackSet.filter	3	12.12	Complete (Passed 196)
XMonad.StackSet.focusMaster	2	60.01	TimeOut
XMonad.StackSet.differentiate	2	0.09	Complete (Passed 10)
XMonad.StackSet.differentiate	3	0.41	Complete (Passed 41)
XMonad.StackSet.differentiate	4	2.97	Complete (Passed 206)
XMonad.StackSet.differentiate	5	25.91	Complete (Passed 1237)
XMonad.StackSet.findTag	2	60.00	TimeOut
XMonad.StackSet.ensureTags	2	60.01	TimeOut
XMonad.StackSet.filter	4	60.04	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.differentiate	6	60.04	TimeOut
XMonad.StackSet.currentTag	2	60.00	TimeOut
XMonad.StackSet.filter	5	60.05	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	6	60.07	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	7	60.13	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	8	60.13	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	9	60.16	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	10	60.21	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	11	60.10	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	12	60.18	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	13	60.15	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	14	60.11	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.filter	15	60.04	TimeOut
