Function	Depth	Time(s)	Result
XMonad.StackSet.view	2	1500.10	TimeOut
XMonad.StackSet.peek	2	1500.10	TimeOut
XMonad.StackSet.swapMaster	2	1500.10	TimeOut
XMonad.StackSet.tagMember	2	1500.10	TimeOut
XMonad.StackSet.new	2	3.25	Complete (Passed 9)
XMonad.StackSet.modify'	2	4.21	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.member	2	4.59	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	3	2.54	Complete (Passed 16)
XMonad.StackSet.new	4	3.64	Complete (Passed 25)
XMonad.StackSet.modify'	3	5.98	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	5	3.70	Complete (Passed 36)
XMonad.StackSet.member	3	11.48	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	6	4.23	Complete (Passed 49)
XMonad.StackSet.new	7	4.81	Complete (Passed 64)
XMonad.StackSet.new	8	7.73	Complete (Passed 81)
XMonad.StackSet.member	4	18.64	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	9	11.18	Complete (Passed 100)
XMonad.StackSet.new	10	17.12	Complete (Passed 121)
XMonad.StackSet.member	5	23.88	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	11	25.07	Complete (Passed 144)
XMonad.StackSet.modify'	4	81.99	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	12	39.82	Complete (Passed 169)
XMonad.StackSet.member	6	104.83	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	13	45.59	Complete (Passed 196)
XMonad.StackSet.new	14	62.23	Complete (Passed 225)
XMonad.StackSet.new	15	93.99	Complete (Passed 256)
XMonad.StackSet.modify'	5	287.37	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.modify'	6	67.67	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	16	164.67	Complete (Passed 289)
XMonad.StackSet.member	7	396.26	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	17	279.79	Complete (Passed 324)
XMonad.StackSet.new	18	314.06	Complete (Passed 361)
XMonad.StackSet.new	19	358.53	Complete (Passed 400)
XMonad.StackSet.modify	2	1500.00	TimeOut
XMonad.StackSet.mapWorkspace	2	6.40	Complete (Passed 1)
XMonad.StackSet.mapWorkspace	3	11.57	Complete (Passed 1)
XMonad.StackSet.mapWorkspace	4	61.46	Complete (Passed 3)
XMonad.StackSet.mapWorkspace	5	61.68	Complete (Passed 2)
XMonad.StackSet.mapWorkspace	6	66.28	Complete (Passed 1)
XMonad.StackSet.member	8	1224.41	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.modify'	7	1500.00	TimeOut
XMonad.StackSet.new	20	729.65	Complete (Passed 441)
XMonad.StackSet.integrate'	2	0.34	Complete (Passed 34)
XMonad.StackSet.integrate'	3	2.83	Complete (Passed 197)
XMonad.StackSet.integrate'	4	32.53	Complete (Passed 1306)
XMonad.StackSet.integrate'	5	471.34	Complete (Passed 9787)
XMonad.StackSet.mapWorkspace	7	1500.10	TimeOut
XMonad.StackSet.integrate	2	0.33	Complete (Passed 33)
XMonad.StackSet.integrate	3	4.05	Complete (Passed 196)
XMonad.StackSet.integrate	4	38.69	Complete (Passed 1305)
XMonad.StackSet.member	9	1500.03	TimeOut
XMonad.StackSet.mapLayout	2	1500.21	TimeOut
XMonad.StackSet.integrate	5	663.89	Complete (Passed 9786)
XMonad.StackSet.integrate'	6	1500.10	TimeOut
XMonad.StackSet.insertUp	2	1500.10	TimeOut
XMonad.StackSet.greedyView	2	1500.10	TimeOut
XMonad.StackSet.filter	2	0.86	Complete (Passed 33)
XMonad.StackSet.filter	3	9.69	Complete (Passed 196)
XMonad.StackSet.filter	4	130.75	Complete (Passed 1305)
XMonad.StackSet.integrate	6	1500.10	TimeOut
XMonad.StackSet.focusMaster	2	1500.10	TimeOut
XMonad.StackSet.differentiate	2	0.10	Complete (Passed 10)
XMonad.StackSet.differentiate	3	0.30	Complete (Passed 41)
XMonad.StackSet.differentiate	4	1.99	Complete (Passed 206)
XMonad.StackSet.differentiate	5	21.07	Complete (Passed 1237)
XMonad.StackSet.differentiate	6	292.30	Complete (Passed 8660)
XMonad.StackSet.findTag	2	1500.10	TimeOut
XMonad.StackSet.filter	5	1500.13	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.ensureTags	2	1500.10	TimeOut
XMonad.StackSet.differentiate	7	1500.01	TimeOut
XMonad.StackSet.currentTag	2	1500.10	TimeOut
XMonad.StackSet.filter	6	1500.10	TimeOut
