Function	Depth	Time(s)	Result
XMonad.StackSet.swapMaster	2	600.08	TimeOut
XMonad.StackSet.view	2	600.08	TimeOut
XMonad.StackSet.peek	2	600.08	TimeOut
XMonad.StackSet.tagMember	2	600.08	TimeOut
XMonad.StackSet.new	2	4.22	Complete (Passed 9)
XMonad.StackSet.modify'	2	5.49	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.member	2	6.08	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	3	2.77	Complete (Passed 16)
XMonad.StackSet.new	4	4.13	Complete (Passed 25)
XMonad.StackSet.modify'	3	7.33	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	5	4.04	Complete (Passed 36)
XMonad.StackSet.new	6	4.77	Complete (Passed 49)
XMonad.StackSet.member	3	14.19	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	7	5.64	Complete (Passed 64)
XMonad.StackSet.new	8	10.20	Complete (Passed 81)
XMonad.StackSet.member	4	20.77	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	9	15.70	Complete (Passed 100)
XMonad.StackSet.member	5	30.23	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	10	21.84	Complete (Passed 121)
XMonad.StackSet.new	11	31.36	Complete (Passed 144)
XMonad.StackSet.modify'	4	101.69	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	12	48.83	Complete (Passed 169)
XMonad.StackSet.member	6	121.68	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.new	13	59.73	Complete (Passed 196)
XMonad.StackSet.new	14	69.07	Complete (Passed 225)
XMonad.StackSet.new	15	106.04	Complete (Passed 256)
XMonad.StackSet.modify'	5	335.53	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.modify'	6	70.19	Complete (Errored "The SMT solver was unable to produce an output value.")
XMonad.StackSet.new	16	162.91	Complete (Passed 289)
XMonad.StackSet.member	7	405.98	Complete (Errored "Couldn't evaluate a concrete refinement: applyMeasure(fromJust :: forall a. lq_tmp_db1:(Data.Maybe.Maybe a) -> a\nfromJust (Data.Maybe.Justx) = x): no equation for \"Data.Maybe.Nothing\"")
XMonad.StackSet.modify	2	600.00	TimeOut
XMonad.StackSet.mapWorkspace	2	4.98	Complete (Passed 1)
XMonad.StackSet.mapWorkspace	3	8.04	Complete (Passed 1)
XMonad.StackSet.mapWorkspace	4	58.29	Complete (Passed 3)
XMonad.StackSet.mapWorkspace	5	57.37	Complete (Passed 2)
XMonad.StackSet.mapWorkspace	6	71.87	Complete (Passed 1)
XMonad.StackSet.new	17	266.42	Complete (Passed 324)
XMonad.StackSet.new	18	294.04	Complete (Passed 361)
XMonad.StackSet.modify'	7	600.07	TimeOut
XMonad.StackSet.member	8	600.04	TimeOut
XMonad.StackSet.integrate'	2	0.33	Complete (Passed 34)
XMonad.StackSet.integrate'	3	3.07	Complete (Passed 197)
XMonad.StackSet.integrate'	4	34.75	Complete (Passed 1306)
XMonad.StackSet.new	19	411.05	Complete (Passed 400)
XMonad.StackSet.integrate'	5	464.34	Complete (Passed 9787)
XMonad.StackSet.mapLayout	2	600.02	TimeOut
XMonad.StackSet.integrate	2	0.45	Complete (Passed 33)
XMonad.StackSet.integrate	3	2.48	Complete (Passed 196)
XMonad.StackSet.integrate	4	28.18	Complete (Passed 1305)
XMonad.StackSet.new	20	600.10	TimeOut
XMonad.StackSet.integrate	5	431.22	Complete (Passed 9786)
XMonad.StackSet.integrate'	6	600.09	TimeOut
XMonad.StackSet.mapWorkspace	7	1754.25	Complete (Errored "Expected a Values response from the solver, got: Sat")
XMonad.StackSet.insertUp	2	600.10	TimeOut
XMonad.StackSet.integrate	6	600.03	TimeOut
XMonad.StackSet.greedyView	2	600.10	TimeOut
XMonad.StackSet.filter	2	0.93	Complete (Passed 33)
XMonad.StackSet.filter	3	8.41	Complete (Passed 196)
XMonad.StackSet.filter	4	133.75	Complete (Passed 1305)
XMonad.StackSet.mapWorkspace	8	600.10	TimeOut
XMonad.StackSet.focusMaster	2	600.10	TimeOut
XMonad.StackSet.differentiate	2	0.11	Complete (Passed 10)
XMonad.StackSet.differentiate	3	0.33	Complete (Passed 41)
XMonad.StackSet.differentiate	4	1.78	Complete (Passed 206)
XMonad.StackSet.differentiate	5	19.74	Complete (Passed 1237)
XMonad.StackSet.findTag	2	600.04	TimeOut
XMonad.StackSet.differentiate	6	239.73	Complete (Passed 8660)
XMonad.StackSet.filter	5	600.04	TimeOut
XMonad.StackSet.ensureTags	2	600.03	TimeOut
XMonad.StackSet.currentTag	2	600.10	TimeOut
XMonad.StackSet.differentiate	7	600.10	TimeOut
