Function	Depth	Time(s)	Result
RBTree.remove	2	0.14	Complete (Passed 48)
RBTree.del	2	0.15	Complete (Passed 48)
RBTree.ins	2	0.19	Complete (Passed 48)
RBTree.add	2	0.19	Complete (Passed 48)
RBTree.remove	3	0.77	Complete (Passed 164)
RBTree.del	3	0.92	Complete (Passed 164)
RBTree.add	3	0.90	Complete (Passed 164)
RBTree.ins	3	0.99	Complete (Passed 164)
RBTree.remove	4	4.74	Complete (Passed 575)
RBTree.add	4	5.21	Complete (Passed 575)
RBTree.ins	4	5.43	Complete (Passed 575)
RBTree.del	4	5.64	Complete (Passed 575)
RBTree.remove	5	32.29	Complete (Passed 1962)
RBTree.add	5	32.98	Complete (Passed 1962)
RBTree.del	5	33.01	Complete (Passed 1962)
RBTree.ins	5	34.50	Complete (Passed 1962)
RBTree.remove	6	200.39	Complete (Passed 6377)
RBTree.del	6	203.23	Complete (Passed 6377)
RBTree.add	6	206.16	Complete (Passed 6377)
RBTree.ins	6	208.13	Complete (Passed 6377)
RBTree.remove	7	1425.05	Complete (Passed 19912)
RBTree.del	7	1427.08	Complete (Passed 19912)
RBTree.add	7	1437.48	Complete (Passed 19912)
RBTree.ins	7	1457.82	Complete (Passed 19912)
RBTree.remove	8	1800.10	TimeOut
RBTree.deleteMin	2	0.10	Complete (Passed 16)
RBTree.deleteMin	3	0.31	Complete (Passed 41)
RBTree.deleteMin	4	1.27	Complete (Passed 115)
RBTree.del	8	1800.00	TimeOut
RBTree.append	2	0.10	Complete (Passed 11)
RBTree.append	3	0.37	Complete (Passed 28)
RBTree.deleteMin	5	6.44	Complete (Passed 327)
RBTree.append	4	1.46	Complete (Passed 73)
RBTree.append	5	6.84	Complete (Passed 200)
RBTree.add	8	1800.01	TimeOut
RBTree.lbalS	2	0.10	Complete (Passed 6)
RBTree.lbalS	3	0.48	Complete (Passed 24)
RBTree.lbalS	4	1.76	Complete (Passed 82)
RBTree.lbalS	5	8.82	Complete (Passed 259)
RBTree.deleteMin	6	31.09	Complete (Passed 911)
RBTree.ins	8	1800.01	TimeOut
RBTree.rbalS	2	0.10	Complete (Passed 6)
RBTree.rbalS	3	0.38	Complete (Passed 24)
RBTree.rbalS	4	1.39	Complete (Passed 82)
RBTree.append	6	35.86	Complete (Passed 572)
RBTree.rbalS	5	7.97	Complete (Passed 259)
RBTree.lbalS	6	50.93	Complete (Passed 780)
RBTree.rbalS	6	52.60	Complete (Passed 780)
RBTree.deleteMin	7	140.10	Complete (Passed 2489)
RBTree.append	7	194.03	Complete (Passed 1672)
RBTree.lbalS	7	257.82	Complete (Passed 2273)
RBTree.rbalS	7	266.61	Complete (Passed 2273)
RBTree.deleteMin	8	777.35	Complete (Passed 6753)
RBTree.append	8	1282.43	Complete (Passed 4887)
RBTree.rbalS	8	1523.32	Complete (Passed 6477)
RBTree.lbalS	8	1569.04	Complete (Passed 6477)
RBTree.deleteMin	9	1800.11	TimeOut
RBTree.lbal	2	0.12	Complete (Passed 13)
RBTree.lbal	3	0.41	Complete (Passed 39)
RBTree.lbal	4	1.20	Complete (Passed 109)
RBTree.lbal	5	7.77	Complete (Passed 291)
RBTree.lbal	6	41.90	Complete (Passed 770)
RBTree.lbal	7	229.10	Complete (Passed 2082)
RBTree.append	9	1800.10	TimeOut
RBTree.rbal	2	0.08	Complete (Passed 13)
RBTree.rbal	3	0.29	Complete (Passed 39)
RBTree.rbal	4	1.25	Complete (Passed 109)
RBTree.rbal	5	5.75	Complete (Passed 291)
RBTree.rbal	6	39.06	Complete (Passed 770)
RBTree.rbal	7	225.92	Complete (Passed 2082)
RBTree.rbalS	9	1800.10	TimeOut
RBTree.makeRed	2	0.20	Complete (Passed 11)
RBTree.makeRed	3	0.19	Complete (Passed 28)
RBTree.makeRed	4	0.69	Complete (Passed 73)
RBTree.makeRed	5	3.68	Complete (Passed 200)
RBTree.lbalS	9	1800.01	TimeOut
RBTree.makeBlack	2	0.12	Complete (Passed 23)
RBTree.makeBlack	3	0.38	Complete (Passed 57)
RBTree.makeBlack	4	1.71	Complete (Passed 147)
RBTree.makeBlack	5	7.93	Complete (Passed 401)
RBTree.makeRed	6	19.15	Complete (Passed 572)
RBTree.makeBlack	6	38.80	Complete (Passed 1145)
RBTree.makeRed	7	104.15	Complete (Passed 1672)
RBTree.makeBlack	7	203.39	Complete (Passed 3345)
RBTree.lbal	8	1312.53	Complete (Passed 5834)
RBTree.makeRed	8	541.60	Complete (Passed 4887)
RBTree.rbal	8	1519.99	Complete (Passed 5834)
RBTree.makeBlack	8	1207.71	Complete (Passed 9775)
RBTree.lbal	9	1800.01	TimeOut
RBTree.makeRed	9	1800.01	TimeOut
RBTree.rbal	9	1800.10	TimeOut
RBTree.makeBlack	9	1800.00	TimeOut
