Function	Depth	Time(s)	Result
Map.updateWithKey	5	50.70	Complete (Passed 918)
Map.updateLookupWithKey	5	50.70	Complete (Passed 918)
Map.alter	5	51.61	Complete (Passed 918)
Map.insert	7	600.04	TimeOut
Map.lookupIndex	2	0.17	Complete (Passed 30)
Map.lookupIndex	3	0.69	Complete (Passed 84)
Map.lookupIndex	4	4.18	Complete (Passed 280)
Map.lookupIndex	5	26.71	Complete (Passed 918)
Map.insertWith	6	180.67	Complete (Passed 2653)
Map.findIndex	6	152.68	Complete (Passed 2653)
Map.insertWithKey	6	180.94	Complete (Passed 2653)
Map.adjust	6	175.14	Complete (Passed 2653)
Map.adjustWithKey	6	175.38	Complete (Passed 2653)
Map.delete	6	180.74	Complete (Passed 2653)
Map.insertLookupWithKey	6	184.12	Complete (Passed 2653)
Map.updateWithKey	6	220.98	Complete (Passed 2653)
Map.updateLookupWithKey	6	221.52	Complete (Passed 2653)
Map.update	6	228.58	Complete (Passed 2653)
Map.lookupIndex	6	156.86	Complete (Passed 2653)
Map.alter	6	256.94	Complete (Passed 2653)
Map.insertWith	7	600.10	TimeOut
Map.elemAt	2	4.20	Complete (Passed 50)
Map.elemAt	3	5.69	Complete (Passed 147)
Map.elemAt	4	12.08	Complete (Passed 504)
Map.findIndex	7	600.00	TimeOut
Map.updateAt	2	8.69	Complete (Passed 50)
Map.insertWithKey	7	600.01	TimeOut
Map.updateAt	3	9.99	Complete (Passed 147)
Map.deleteAt	2	5.13	Complete (Passed 50)
Map.adjust	7	600.01	TimeOut
Map.adjustWithKey	7	600.01	TimeOut
Map.delete	7	600.00	TimeOut
Map.deleteAt	3	5.78	Complete (Passed 147)
Map.findMin	2	4.50	Complete (Passed 10)
Map.deleteMin	2	3.81	Complete (Passed 10)
Map.findMax	2	3.90	Complete (Passed 10)
Map.insertLookupWithKey	7	600.00	TimeOut
Map.findMin	3	4.68	Complete (Passed 21)
Map.findMax	3	4.48	Complete (Passed 21)
Map.deleteMin	3	4.76	Complete (Passed 21)
Map.deleteMax	2	4.61	Complete (Passed 10)
Map.updateAt	4	19.34	Complete (Passed 504)
Map.findMin	4	4.89	Complete (Passed 56)
Map.findMax	4	5.36	Complete (Passed 56)
Map.deleteMin	4	5.56	Complete (Passed 56)
Map.deleteAt	4	12.72	Complete (Passed 504)
Map.deleteMax	3	4.77	Complete (Passed 21)
Map.elemAt	5	56.48	Complete (Passed 1683)
Map.deleteMax	4	5.48	Complete (Passed 56)
Map.findMin	5	9.55	Complete (Passed 153)
Map.findMax	5	9.04	Complete (Passed 153)
Map.deleteMin	5	10.56	Complete (Passed 153)
Map.deleteMax	5	10.45	Complete (Passed 153)
Map.findMin	6	27.04	Complete (Passed 379)
Map.findMax	6	26.98	Complete (Passed 379)
Map.deleteMin	6	29.74	Complete (Passed 379)
Map.deleteMax	6	30.27	Complete (Passed 379)
Map.updateWithKey	7	600.01	TimeOut
Map.updateLookupWithKey	7	600.00	TimeOut
Map.deleteAt	5	60.94	Complete (Passed 1683)
Map.update	7	600.10	TimeOut
