Function	Depth	Time(s)	Result
Map.lookupGT	2	4.10	Complete (Passed 30)
Map.lookup	2	4.23	Complete (Passed 30)
Map.!	2	4.23	Complete (Passed 30)
Map.insert	2	4.31	Complete (Passed 30)
Map.lookupLT	2	4.34	Complete (Passed 30)
Map.lookupLE	2	4.42	Complete (Passed 30)
Map.findWithDefault	2	4.43	Complete (Passed 30)
Map.lookupGE	2	4.63	Complete (Passed 30)
Map.\\	2	5.05	Complete (Passed 100)
Map.null	2	8.04	Complete (Passed 10)
Map.member	2	8.09	Complete (Passed 30)
Map.notMember	2	8.35	Complete (Passed 30)
Map.lookupGT	3	4.41	Complete (Passed 84)
Map.!	3	4.30	Complete (Passed 84)
Map.lookup	3	4.35	Complete (Passed 84)
Map.lookupLT	3	4.45	Complete (Passed 84)
Map.findWithDefault	3	4.38	Complete (Passed 84)
Map.lookupGE	3	4.33	Complete (Passed 84)
Map.insert	3	4.92	Complete (Passed 84)
Map.lookupLE	3	4.85	Complete (Passed 84)
Map.\\	3	10.79	Complete (Passed 441)
Map.lookupGT	4	8.19	Complete (Passed 280)
Map.!	4	8.26	Complete (Passed 280)
Map.lookup	4	8.25	Complete (Passed 280)
Map.lookupLT	4	8.08	Complete (Passed 280)
Map.null	3	8.87	Complete (Passed 21)
Map.member	3	8.84	Complete (Passed 84)
Map.notMember	3	8.67	Complete (Passed 84)
Map.lookupGE	4	8.18	Complete (Passed 280)
Map.findWithDefault	4	8.40	Complete (Passed 280)
Map.lookupLE	4	9.39	Complete (Passed 280)
Map.insert	4	11.77	Complete (Passed 280)
Map.null	4	9.40	Complete (Passed 56)
Map.member	4	12.55	Complete (Passed 280)
Map.notMember	4	12.64	Complete (Passed 280)
Map.null	5	13.23	Complete (Passed 153)
Map.!	5	31.39	Complete (Passed 918)
Map.lookup	5	31.39	Complete (Passed 918)
Map.lookupLT	5	31.50	Complete (Passed 918)
Map.lookupGE	5	31.41	Complete (Passed 918)
Map.findWithDefault	5	31.58	Complete (Passed 918)
Map.lookupGT	5	32.11	Complete (Passed 918)
Map.lookupLE	5	31.85	Complete (Passed 918)
Map.insert	5	41.57	Complete (Passed 918)
Map.member	5	35.19	Complete (Passed 918)
Map.notMember	5	35.55	Complete (Passed 918)
Map.null	6	29.80	Complete (Passed 379)
