Depth	Time(s)	Result
2	0.89	Completed (Passed 3)
3	1.08	Completed (Passed 10)
4	1.34	Completed (Passed 21)
5	2.28	Completed (Passed 56)
6	6.29	Completed (Passed 153)
7	23.51	Completed (Passed 379)
8	111.50	Completed (Passed 985)
9	300.13	TimedOut
