Depth	Time(s)	Result
2	1.13	Completed (Passed 9)
3	1.05	Completed (Passed 50)
4	1.71	Completed (Passed 147)
5	6.05	Completed (Passed 504)
6	35.86	Completed (Passed 1683)
7	211.26	Completed (Passed 4927)
8	300.04	TimedOut
