Depth	Time(s)	Result
2	0.97	Completed (Passed 6)
3	1.09	Completed (Passed 30)
4	1.71	Completed (Passed 84)
5	6.67	Completed (Passed 280)
6	30.35	Completed (Passed 918)
7	157.67	Completed (Passed 2653)
8	300.24	TimedOut
