Depth	Time(s)	Result
2	0.92	Completed (Passed 3)
3	0.99	Completed (Passed 10)
4	1.14	Completed (Passed 21)
5	2.02	Completed (Passed 56)
6	9.04	Completed (Passed 153)
7	45.14	Completed (Passed 379)
8	282.39	Completed (Passed 985)
