Depth	Time(s)	Result
2	1.18	Completed (Passed 6)
3	0.82	Completed (Passed 30)
4	1.48	Completed (Passed 84)
5	3.93	Completed (Passed 280)
6	19.45	Completed (Passed 918)
7	108.44	Completed (Passed 2653)
8	762.45	TimedOut
