Depth	Time(s)	Result
2	3.53	Completed (Passed 3)
3	3.06	Completed (Passed 10)
4	3.38	Completed (Passed 21)
5	5.02	Completed (Passed 56)
6	10.41	Completed (Passed 153)
7	35.35	Completed (Passed 379)
8	158.17	Completed (Passed 985)
9	300.04	TimedOut
