Depth	Time(s)	Result
2	1.10	Completed (Passed 2)
3	1.23	Completed (Passed 3)
4	0.96	Completed (Passed 4)
5	1.01	Completed (Passed 5)
6	0.68	Completed (Passed 6)
7	1.03	Completed (Passed 7)
8	0.99	Completed (Passed 8)
9	1.02	Completed (Passed 9)
