Depth	Time(s)	Result
2	0.93	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.27	Completed (Passed 21)
5	2.31	Completed (Passed 56)
6	6.36	Completed (Passed 153)
7	23.96	Completed (Passed 379)
8	109.70	Completed (Passed 985)
9	752.42	TimedOut
