Depth	Time(s)	Result
2	1.91	Completed (Passed 6)
3	2.07	Completed (Passed 30)
4	2.42	Completed (Passed 84)
5	8.09	Completed (Passed 280)
6	36.78	Completed (Passed 918)
7	183.24	Completed (Passed 2653)
8	300.04	TimedOut
