Depth	Time(s)	Result
2	1.92	Completed (Passed 3)
3	1.95	Completed (Passed 10)
4	2.25	Completed (Passed 21)
5	2.93	Completed (Passed 56)
6	7.83	Completed (Passed 153)
7	30.62	Completed (Passed 379)
8	147.54	Completed (Passed 985)
