Depth	Time(s)	Result
2	0.96	Completed (Passed 6)
3	1.05	Completed (Passed 30)
4	1.12	Completed (Passed 84)
5	3.50	Completed (Passed 280)
6	19.44	Completed (Passed 918)
7	112.10	Completed (Passed 2653)
8	300.14	TimedOut
