Depth	Time(s)	Result
2	2.14	Completed (Passed 3)
3	1.96	Completed (Passed 10)
4	1.92	Completed (Passed 21)
5	3.06	Completed (Passed 56)
6	8.36	Completed (Passed 153)
7	28.89	Completed (Passed 379)
8	150.63	Completed (Passed 985)
9	300.08	TimedOut
