Depth	Time(s)	Result
2	1.88	Completed (Passed 6)
3	2.06	Completed (Passed 30)
4	2.72	Completed (Passed 84)
5	8.02	Completed (Passed 280)
6	36.97	Completed (Passed 918)
7	168.79	Completed (Passed 2653)
8	677.13	TimedOut
