Depth	Time(s)	Result
2	1.41	Completed (Passed 6)
3	1.21	Completed (Passed 30)
4	2.30	Completed (Passed 84)
5	7.91	Completed (Passed 280)
6	36.76	Completed (Passed 918)
7	168.79	Completed (Passed 2653)
8	300.02	TimedOut
