Depth	Time(s)	Result
2	0.91	Completed (Passed 3)
3	1.04	Completed (Passed 13)
4	1.75	Completed (Passed 85)
5	12.44	Completed (Passed 781)
6	219.69	Completed (Passed 9331)
7	300.02	TimedOut
