Depth	Time(s)	Result
2	1.89	Completed (Passed 3)
3	1.96	Completed (Passed 10)
4	1.81	Completed (Passed 21)
5	2.81	Completed (Passed 56)
6	6.74	Completed (Passed 153)
7	27.86	Completed (Passed 379)
8	107.35	Completed (Passed 985)
9	300.08	TimedOut
