Depth	Time(s)	Result
2	0.95	Completed (Passed 6)
3	1.10	Completed (Passed 30)
4	2.12	Completed (Passed 84)
5	7.05	Completed (Passed 280)
6	33.28	Completed (Passed 918)
7	158.46	Completed (Passed 2653)
8	300.07	TimedOut
