Depth	Time(s)	Result
2	0.95	Completed (Passed 6)
3	1.03	Completed (Passed 30)
4	1.40	Completed (Passed 84)
5	3.91	Completed (Passed 280)
6	17.46	Completed (Passed 918)
7	108.53	Completed (Passed 2653)
8	764.51	TimedOut
