Depth	Time(s)	Result
2	1.25	Completed (Passed 3)
3	1.05	Completed (Passed 10)
4	1.07	Completed (Passed 21)
5	1.66	Completed (Passed 56)
6	3.83	Completed (Passed 153)
7	15.99	Completed (Passed 379)
8	91.13	Completed (Passed 985)
9	300.17	TimedOut
