Depth	Time(s)	Result
2	1.72	Completed (Passed 6)
3	1.85	Completed (Passed 30)
4	2.23	Completed (Passed 84)
5	4.18	Completed (Passed 280)
6	19.48	Completed (Passed 918)
7	107.57	Completed (Passed 2653)
8	300.03	TimedOut
