Depth	Time(s)	Result
2	0.94	Completed (Passed 6)
3	1.10	Completed (Passed 30)
4	1.94	Completed (Passed 84)
5	7.37	Completed (Passed 280)
6	32.32	Completed (Passed 918)
7	163.40	Completed (Passed 2653)
8	300.02	TimedOut
