Depth	Time(s)	Result
2	3.31	Completed (Passed 3)
3	3.26	Completed (Passed 10)
4	3.76	Completed (Passed 21)
5	5.41	Completed (Passed 56)
6	13.85	Completed (Passed 153)
7	59.02	Completed (Passed 379)
8	288.98	Completed (Passed 985)
9	300.11	TimedOut
