Depth	Time(s)	Result
2	0.98	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.08	Completed (Passed 21)
5	1.78	Completed (Passed 56)
6	4.97	Completed (Passed 153)
7	22.75	Completed (Passed 379)
8	128.29	Completed (Passed 985)
9	300.06	TimedOut
