Depth	Time(s)	Result
2	0.98	Completed (Passed 3)
3	1.00	Completed (Passed 13)
4	1.63	Completed (Passed 85)
5	12.26	Completed (Passed 781)
6	215.80	Completed (Passed 9331)
7	666.13	TimedOut
