Depth	Time(s)	Result
2	0.93	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.13	Completed (Passed 21)
5	2.19	Completed (Passed 56)
6	6.37	Completed (Passed 153)
7	24.24	Completed (Passed 379)
8	113.38	Completed (Passed 985)
9	300.07	TimedOut
