Depth	Time(s)	Result
2	0.04	Completed (Passed 9)
3	1.05	Completed (Passed 50)
4	1.75	Completed (Passed 147)
5	6.76	Completed (Passed 504)
6	41.80	Completed (Passed 1683)
7	236.57	Completed (Passed 4927)
8	300.04	TimedOut
