Depth	Time(s)	Result
2	1.85	Completed (Passed 3)
3	1.95	Completed (Passed 10)
4	2.01	Completed (Passed 21)
5	2.93	Completed (Passed 56)
6	7.86	Completed (Passed 153)
7	30.37	Completed (Passed 379)
8	149.04	Completed (Passed 985)
