Depth	Time(s)	Result
2	1.17	Completed (Passed 3)
3	0.99	Completed (Passed 10)
4	1.10	Completed (Passed 21)
5	1.88	Completed (Passed 56)
6	6.50	Completed (Passed 153)
7	31.94	Completed (Passed 379)
8	178.27	Completed (Passed 985)
