Depth	Time(s)	Result
2	3.73	Completed (Passed 3)
3	9.39	Completed (Passed 10)
4	19.56	Completed (Passed 21)
5	51.35	Completed (Passed 56)
6	136.70	Completed (Passed 153)
7	352.43	Completed (Passed 379)
