Depth	Time(s)	Result
2	0.96	Completed (Passed 6)
3	1.09	Completed (Passed 30)
4	1.88	Completed (Passed 84)
5	6.75	Completed (Passed 280)
6	32.34	Completed (Passed 918)
7	157.45	Completed (Passed 2653)
8	300.03	TimedOut
