Depth	Time(s)	Result
2	1.87	Completed (Passed 9)
3	1.91	Completed (Passed 50)
4	2.64	Completed (Passed 147)
5	9.06	Completed (Passed 504)
6	48.70	Completed (Passed 1683)
7	270.43	Completed (Passed 4927)
8	300.03	TimedOut
