Depth	Time(s)	Result
2	0.93	Completed (Passed 3)
3	0.98	Completed (Passed 10)
4	1.25	Completed (Passed 21)
5	2.23	Completed (Passed 56)
6	6.08	Completed (Passed 153)
7	22.90	Completed (Passed 379)
8	111.69	Completed (Passed 985)
9	300.14	TimedOut
