Depth	Time(s)	Result
2	0.97	Completed (Passed 3)
3	1.05	Completed (Passed 10)
4	1.14	Completed (Passed 21)
5	1.88	Completed (Passed 56)
6	5.16	Completed (Passed 153)
7	17.16	Completed (Passed 379)
8	131.52	Completed (Passed 985)
9	738.71	TimedOut
