Depth	Time(s)	Result
2	1.12	Completed (Passed 6)
3	1.13	Completed (Passed 30)
4	2.03	Completed (Passed 84)
5	7.31	Completed (Passed 280)
6	34.93	Completed (Passed 918)
7	161.82	Completed (Passed 2653)
8	300.02	TimedOut
