Depth	Time(s)	Result
2	1.89	Completed (Passed 6)
3	2.08	Completed (Passed 30)
4	2.84	Completed (Passed 84)
5	8.55	Completed (Passed 280)
6	38.57	Completed (Passed 918)
7	184.60	Completed (Passed 2653)
8	659.29	TimedOut
