Depth	Time(s)	Result
2	1.04	Completed (Passed 3)
3	1.00	Completed (Passed 13)
4	1.83	Completed (Passed 85)
5	12.55	Completed (Passed 781)
6	216.67	Completed (Passed 9331)
7	300.02	TimedOut
