Depth	Time(s)	Result
2	0.92	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.18	Completed (Passed 21)
5	2.39	Completed (Passed 56)
6	6.70	Completed (Passed 153)
7	22.05	Completed (Passed 379)
8	111.66	Completed (Passed 985)
9	300.04	TimedOut
