Depth	Time(s)	Result
2	0.97	Completed (Passed 3)
3	0.97	Completed (Passed 10)
4	1.09	Completed (Passed 21)
5	1.87	Completed (Passed 56)
6	6.00	Completed (Passed 153)
7	22.94	Completed (Passed 379)
8	110.13	Completed (Passed 985)
9	300.04	TimedOut
