Depth	Time(s)	Result
2	0.94	Completed (Passed 6)
3	1.12	Completed (Passed 30)
4	2.13	Completed (Passed 84)
5	8.17	Completed (Passed 280)
6	39.69	Completed (Passed 918)
7	200.26	Completed (Passed 2653)
