Depth	Time(s)	Result
2	0.93	Completed (Passed 3)
3	1.02	Completed (Passed 10)
4	1.09	Completed (Passed 21)
5	2.12	Completed (Passed 56)
6	6.35	Completed (Passed 153)
7	24.16	Completed (Passed 379)
8	111.94	Completed (Passed 985)
9	300.04	TimedOut
