Depth	Time(s)	Result
2	0.95	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.09	Completed (Passed 21)
5	2.01	Completed (Passed 56)
6	6.02	Completed (Passed 153)
7	23.05	Completed (Passed 379)
8	110.60	Completed (Passed 985)
9	300.13	TimedOut
