Depth	Time(s)	Result
2	0.96	Completed (Passed 3)
3	0.97	Completed (Passed 10)
4	1.05	Completed (Passed 21)
5	1.61	Completed (Passed 56)
6	4.59	Completed (Passed 153)
7	18.69	Completed (Passed 379)
8	94.07	Completed (Passed 985)
9	775.51	TimedOut
