Depth	Time(s)	Result
2	1.87	Completed (Passed 3)
3	1.99	Completed (Passed 10)
4	1.85	Completed (Passed 21)
5	3.28	Completed (Passed 56)
6	10.51	Completed (Passed 153)
7	50.39	Completed (Passed 379)
8	256.47	Completed (Passed 985)
