Depth	Time(s)	Result
2	0.96	Completed (Passed 3)
3	0.99	Completed (Passed 10)
4	1.14	Completed (Passed 21)
5	2.16	Completed (Passed 56)
6	6.65	Completed (Passed 153)
7	24.23	Completed (Passed 379)
8	113.12	Completed (Passed 985)
9	300.06	TimedOut
