Depth	Time(s)	Result
2	0.99	Completed (Passed 3)
3	1.08	Completed (Passed 10)
4	1.07	Completed (Passed 21)
5	1.80	Completed (Passed 56)
6	5.05	Completed (Passed 153)
7	22.36	Completed (Passed 379)
8	124.51	Completed (Passed 985)
9	300.08	TimedOut
