Depth	Time(s)	Result
2	1.36	Completed (Passed 3)
3	0.99	Completed (Passed 10)
4	1.14	Completed (Passed 21)
5	1.95	Completed (Passed 56)
6	5.12	Completed (Passed 153)
7	21.40	Completed (Passed 379)
8	130.78	Completed (Passed 985)
9	300.07	TimedOut
