Depth	Time(s)	Result
2	0.77	Completed (Passed 6)
3	1.04	Completed (Passed 30)
4	1.37	Completed (Passed 84)
5	3.31	Completed (Passed 280)
6	18.61	Completed (Passed 918)
7	110.76	Completed (Passed 2653)
8	761.71	TimedOut
