Depth	Time(s)	Result
2	0.74	Completed (Passed 3)
3	0.96	Completed (Passed 7)
4	1.02	Completed (Passed 15)
5	1.46	Completed (Passed 31)
6	1.50	Completed (Passed 63)
7	3.38	Completed (Passed 127)
8	6.42	Completed (Passed 255)
9	13.91	Completed (Passed 511)
