Depth	Time(s)	Result
2	0.93	Completed (Passed 3)
3	1.00	Completed (Passed 10)
4	1.10	Completed (Passed 21)
5	1.75	Completed (Passed 56)
6	6.10	Completed (Passed 153)
7	22.56	Completed (Passed 379)
8	111.13	Completed (Passed 985)
9	300.12	TimedOut
