Depth	Time(s)	Result
2	0.03	Completed (Passed 3)
3	1.06	Completed (Passed 10)
4	1.08	Completed (Passed 21)
5	1.54	Completed (Passed 56)
6	5.53	Completed (Passed 153)
7	21.18	Completed (Passed 379)
8	106.42	Completed (Passed 985)
9	300.10	TimedOut
