Depth	Time(s)	Result
2	0.94	Completed (Passed 3)
3	1.01	Completed (Passed 10)
4	1.65	Completed (Passed 21)
5	3.03	Completed (Passed 56)
6	9.63	Completed (Passed 153)
7	57.34	Completed (Passed 379)
8	300.06	TimedOut
