Depth	Time(s)	Result
2	0.94	Completed (Passed 3)
3	0.97	Completed (Passed 10)
4	1.10	Completed (Passed 35)
5	2.28	Completed (Passed 126)
6	7.49	Completed (Passed 462)
7	33.64	Completed (Passed 1716)
8	163.59	Completed (Passed 6435)
9	300.03	TimedOut
