Depth	Time(s)	Result
2	1.17	Completed (Passed 3)
3	0.98	Completed (Passed 10)
4	0.94	Completed (Passed 35)
5	2.06	Completed (Passed 126)
6	6.49	Completed (Passed 462)
7	33.21	Completed (Passed 1716)
8	160.44	Completed (Passed 6435)
9	300.03	TimedOut
