Depth	Time(s)	Result
2	3.61	Completed (Passed 3)
3	3.58	Completed (Passed 10)
4	4.11	Completed (Passed 21)
5	5.31	Completed (Passed 56)
6	14.28	Completed (Passed 153)
7	53.02	Completed (Passed 379)
8	813.88	TimedOut
