Depth	Time(s)	Result
2	1.90	Completed (Passed 6)
3	1.92	Completed (Passed 30)
4	1.96	Completed (Passed 84)
5	4.00	Completed (Passed 280)
6	19.51	Completed (Passed 918)
7	111.09	Completed (Passed 2653)
8	757.32	TimedOut
