Depth	Time(s)	Result
2	0.03	Completed (Passed 3)
3	0.98	Completed (Passed 10)
4	1.06	Completed (Passed 21)
5	1.75	Completed (Passed 56)
6	5.29	Completed (Passed 153)
7	21.00	Completed (Passed 379)
8	107.06	Completed (Passed 985)
9	300.13	TimedOut
